Marca temporal,¿Cuántos años tenés?,,¿Cuál es tu género?,Me siento calmado,Me siento seguro,Estoy tenso,Estoy contrariado (malhumorado o disgustado),Me siento cómodo (estoy a gusto),Estoy preocupado ahora por posibles desgracias futuras,Me siento descansado,Me siento angustiado,Me siento confortable,Tengo confianza en mi mismo,Me siento nervioso,Estoy desasosegado (agitado e inquieto),Me siento muy “atado” (como oprimido),Estoy relajado,Me siento satisfecho,Estoy preocupado,Me siento aturdido y sobreexcitado,Me siento alegre,En este momento me siento bien
8/07/2021 10:08:02,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 10:08:25,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
8/07/2021 10:08:25,Entre 15 y 18,,Mujer,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Bastante (2)
8/07/2021 10:08:29,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1)
8/07/2021 10:16:33,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 10:19:03,Más de 40,,Hombre,Bastante (2),Mucho (3),Nada (0),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 10:20:28,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 10:21:56,Entre 19 y 25,,No le doy importancia,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 10:36:18,Entre 15 y 18,,Mujer,Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Un poco (1),Un poco (1),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3)
8/07/2021 10:36:49,Entre 26 y 40,,Hombre,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Nada (0),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Bastante (2),Nada (0),Un poco (1)
8/07/2021 10:39:20,Entre 15 y 18,,Mujer,Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 10:39:46,Entre 19 y 25,,No binario,Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Mucho (3),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3)
8/07/2021 10:43:10,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Nada (0),Nada (0),Un poco (1),Nada (0),Un poco (1),Nada (0),Nada (0),Un poco (1)
8/07/2021 10:45:06,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Mucho (3),Bastante (2),Un poco (1),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2)
8/07/2021 10:48:03,Entre 15 y 18,,Mujer,Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Un poco (1),Un poco (1),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3)
8/07/2021 10:51:20,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 10:53:28,Entre 19 y 25,,Mujer,Un poco (1),Bastante (2),Bastante (2),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Un poco (1)
8/07/2021 10:55:23,Entre 15 y 18,,Mujer,Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3),Un poco (1),Bastante (2)
8/07/2021 10:55:41,Entre 19 y 25,,Hombre,Mucho (3),Mucho (3),Nada (0),Mucho (3),Mucho (3),Mucho (3),Mucho (3),Mucho (3),Mucho (3),Mucho (3),Nada (0),Mucho (3),Mucho (3),Mucho (3),Bastante (2),Mucho (3),Mucho (3),Mucho (3),Mucho (3)
8/07/2021 10:58:26,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Mucho (3),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Mucho (3)
8/07/2021 11:00:36,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2)
8/07/2021 11:00:55,Entre 10 y 14,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Mucho (3),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Mucho (3),Mucho (3)
8/07/2021 11:01:01,Entre 10 y 14,,Hombre,Mucho (3),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 11:01:18,Entre 10 y 14,,Hombre,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Nada (0),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 11:01:18,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Nada (0),Nada (0),Mucho (3),Nada (0),Un poco (1),Nada (0)
8/07/2021 11:01:33,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Mucho (3),Mucho (3)
8/07/2021 11:01:41,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 11:01:50,Entre 10 y 14,,Hombre,Mucho (3),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Bastante (2)
8/07/2021 11:01:52,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3)
8/07/2021 11:02:10,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Mucho (3),Bastante (2)
8/07/2021 11:02:20,Entre 10 y 14,,Mujer,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1)
8/07/2021 11:02:22,Entre 10 y 14,,Mujer,Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1)
8/07/2021 11:02:34,Entre 10 y 14,,Mujer,Bastante (2),Mucho (3),Nada (0),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Un poco (1),Mucho (3),Nada (0),Nada (0),Mucho (3),Bastante (2)
8/07/2021 11:02:48,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
8/07/2021 11:03:00,Entre 10 y 14,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Mucho (3),Un poco (1),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 11:03:11,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 11:03:12,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (3)
8/07/2021 11:03:25,Entre 10 y 14,,Mujer,Un poco (1),Bastante (2),Nada (0),Mucho (3),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Mucho (3),Mucho (3),Mucho (3)
8/07/2021 11:03:59,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 11:04:15,Entre 10 y 14,,Hombre,Mucho (3),Bastante (2),Un poco (1),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Mucho (3),Mucho (3)
8/07/2021 11:04:18,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 11:04:28,Entre 10 y 14,,Mujer,Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
8/07/2021 11:04:30,Entre 10 y 14,,Mujer,Nada (0),Un poco (1),Mucho (3),Bastante (2),Nada (0),Bastante (2),Mucho (3),Mucho (3),Nada (0),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Nada (0),Un poco (1),Mucho (3),Bastante (2),Nada (0),Nada (0)
8/07/2021 11:04:53,Entre 19 y 25,,Mujer,Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 11:05:04,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3)
8/07/2021 11:05:23,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 11:05:48,Entre 19 y 25,,Mujer,Un poco (1),Mucho (3),Nada (0),Nada (0),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Mucho (3)
8/07/2021 11:05:50,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
8/07/2021 11:06:00,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 11:06:18,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Mucho (3)
8/07/2021 11:06:28,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 11:06:33,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2)
8/07/2021 11:06:37,Entre 10 y 14,,Mujer,Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Nada (0),Mucho (3),Mucho (3),Un poco (1),Mucho (3),Nada (0),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Un poco (1)
8/07/2021 11:06:42,Entre 10 y 14,,Hombre,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Bastante (2),Nada (0),Bastante (2),Un poco (1)
8/07/2021 11:06:45,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Mucho (3),Bastante (2)
8/07/2021 11:07:44,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2),Bastante (2),Nada (0),Bastante (2),Bastante (2)
8/07/2021 11:08:29,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 11:08:45,Entre 10 y 14,,Hombre,Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 11:08:56,Entre 10 y 14,,Mujer,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 11:09:07,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Nada (0),Mucho (3),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3)
8/07/2021 11:09:13,Entre 10 y 14,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 11:09:15,Entre 10 y 14,,Hombre,Un poco (1),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Mucho (3),Nada (0),Mucho (3),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 11:09:24,Entre 10 y 14,,Hombre,Un poco (1),Mucho (3),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Mucho (3)
8/07/2021 11:09:29,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Un poco (1),Bastante (2)
8/07/2021 11:10:08,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Mucho (3),Nada (0),Bastante (2),Bastante (2)
8/07/2021 11:10:30,Entre 10 y 14,,Hombre,Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Un poco (1),Mucho (3),Nada (0),Mucho (3),Mucho (3),Nada (0),Un poco (1),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3)
8/07/2021 11:10:38,Entre 10 y 14,,Hombre,Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Nada (0),Mucho (3),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Un poco (1),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Bastante (2)
8/07/2021 11:10:45,Entre 10 y 14,,Mujer,Un poco (1),Mucho (3),Un poco (1),Bastante (2),Mucho (3),Mucho (3),Bastante (2),Nada (0),Mucho (3),Nada (0),Un poco (1),Un poco (1),Nada (0),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Bastante (2)
8/07/2021 11:11:02,Entre 10 y 14,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Nada (0),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1)
8/07/2021 11:11:10,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Nada (0),Bastante (2),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 11:11:11,Entre 10 y 14,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 11:11:15,Entre 10 y 14,,tanque sovietico,Un poco (1),Mucho (3),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Un poco (1),Bastante (2),Mucho (3)
8/07/2021 11:11:16,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 11:11:20,Entre 10 y 14,,Hombre,Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3)
8/07/2021 11:11:25,Entre 10 y 14,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 11:11:36,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Nada (0),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Un poco (1),Mucho (3),Mucho (3)
8/07/2021 11:12:15,Entre 10 y 14,,Mujer,Bastante (2),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1)
8/07/2021 11:12:30,Entre 10 y 14,,Mujer,Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Nada (0),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Mucho (3),Bastante (2)
8/07/2021 11:12:35,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Nada (0),Nada (0),Un poco (1),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 11:12:39,Entre 10 y 14,,Mujer,Bastante (2),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 11:12:40,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 11:13:00,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 11:13:07,Entre 10 y 14,,Mujer,Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Mucho (3),Bastante (2)
8/07/2021 11:13:09,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Un poco (1),Mucho (3),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
8/07/2021 11:13:15,Entre 10 y 14,,Hombre,Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Nada (0)
8/07/2021 11:13:21,Entre 10 y 14,,Hombre,Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
